MP_Name,State,Constituency,Allocated_Amount,Total_Fund_Utilized,Balance_Allocated_Limit,Utilization_Percent,pace_band,pace_note
MIAN ALTAF AHMAD,Jammu And Kashmir,ANANTNAG,147000000.0,924189.0,146075811.0,0.63,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
NEERAJ MAURYA,Uttar Pradesh,AONLA,147000000.0,930275.0,146069725.0,0.63,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Shri Hibi Eden,Kerala,ERNAKULAM,162177260.11,1018722.0,161158538.11,0.63,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Adv Adoor Prakash,Kerala,ATTINGAL,147000000.0,935062.0,146064938.0,0.64,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
DR RAJKUMAR SANGWAN,Uttar Pradesh,BAGHPAT,147000000.0,975717.0,146024283.0,0.66,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Shri B Y Raghavendra,Karnataka,SHIMOGA,147000000.0,970000.0,146030000.0,0.66,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
UMMEDA RAM BENIWAL,Rajasthan,BARMER,147000000.0,965374.0,146034626.0,0.66,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Bansuri Swaraj,Delhi,NEW DELHI,154306950.0,1017415.0,153289535.0,0.66,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Kaushalendra Kumar,Bihar,NALANDA,147000000.0,991923.0,146008077.0,0.67,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
VAMSI KRISHNA GADDAM,Telangana,PEDDAPALLE,148451721.11,999768.0,147451953.11,0.67,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Shrirang Appa Barne,Maharashtra,MAVAL,147000000.0,1000000.0,146000000.0,0.68,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Dhairyasheel Sambhajirao Mane,Maharashtra,HATKANANGLE,147000000.0,1000000.0,146000000.0,0.68,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
ANIL BALUNI,Uttarakhand,GARHWAL,147000000.0,997800.0,146002200.0,0.68,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Swami Sachchidanandhari Sakshi ji Maharaj,Uttar Pradesh,UNNAO,147000000.0,1077000.0,145923000.0,0.73,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
AMRINDER SINGH RAJA WARRING,Punjab,LUDHIANA,147000000.0,1070134.0,145929866.0,0.73,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
SHER SINGH GHUBAYA,Punjab,FIROZPUR,147000000.0,1098500.0,145901500.0,0.75,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
BRIJMOHAN AGRAWAL,Chhattisgarh,RAIPUR,153766451.11,1152008.0,152614443.11,0.75,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Kamaljeet Sehrawat,Delhi,WEST DELHI,147000000.0,1124652.0,145875348.0,0.77,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
SURESH GOPI,Kerala,THRISSUR,147000000.0,1156605.0,145843395.0,0.79,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
SUDHAKAR SINGH,Bihar,BUXAR,185211956.54,1540301.0,183671655.54,0.83,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Shri Rajmohan Unnithan,Kerala,KASARAGOD,156754633.11,1299784.0,155454849.11,0.83,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Sunil Dattatray Tatkare,Maharashtra,RAIGAD,147000000.0,1246000.0,145754000.0,0.85,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
RABINDRA NARAYAN BEHERA,Odisha,JAJPUR(SC),147064617.11,1270574.0,145794043.11,0.86,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
MURARI LAL MEENA,Rajasthan,DAUSA(ST),147000000.0,1289488.0,145710512.0,0.88,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Om Birla,Rajasthan,KOTA,163906956.6,1455416.0,162451540.6,0.89,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
JITIN PRASADA,Uttar Pradesh,PILIBHIT,147000000.0,1378381.0,145621619.0,0.94,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Smt S Jothimani,Tamil Nadu,KARUR,147000000.0,1394652.0,145605348.0,0.95,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
KARTICK CHANDRA PAUL,West Bengal,RAIGANJ,202677986.56,1918541.0,200759445.56,0.95,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
MUHAMMED HAMDULLAH SAYEED,Lakshadweep,LAKSHADWEEP(ST),153942460.41,1473975.0,152468485.41,0.96,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
ISHA KHAN CHOUDHURY,West Bengal,MALDAHA DAKSHIN,147000000.0,1463573.0,145536427.0,1.0,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Dilip Saikia,Assam,Darrang-Udalguri,147000000.0,1498297.0,145501703.0,1.02,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Sivanath Kesineni,Andhra Pradesh,VIJAYAWADA,159864032.49,1642866.0,158221166.49,1.03,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
SUDAMA PRASAD,Bihar,ARRAH,147000000.0,1533299.0,145466701.0,1.04,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Mahendra Singh Solanky,Madhya Pradesh,DEWAS(SC),147000000.0,1550294.0,145449706.0,1.05,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Smt Hema Malini,Uttar Pradesh,MATHURA,147000000.0,1558300.0,145441700.0,1.06,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Arvind Dharmapuri,Telangana,NIZAMABAD,281396355.11,3055220.0,278341135.11,1.09,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
CHARANJIT SINGH CHANNI,Punjab,JALANDHAR(SC),147000000.0,1630554.0,145369446.0,1.11,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Nityanand Rai,Bihar,UJJARPUR,147000000.0,1700000.0,145300000.0,1.16,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Smt Sajda Ahmed,West Bengal,ULUBERIA,147000000.0,1706799.0,145293201.0,1.16,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
KAMLESH JANGDE,Chhattisgarh,JANJGIR CHAMPA(SC),150384382.11,1764285.0,148620097.11,1.17,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Rajnath Singh,Uttar Pradesh,LUCKNOW,154808797.11,1809982.0,152998815.11,1.17,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
IQRA CHOUDHARY,Uttar Pradesh,KAIRANA,147000000.0,1730100.0,145269900.0,1.18,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
ARUN GOVIL,Uttar Pradesh,MEERUT,147000000.0,1766369.0,145233631.0,1.2,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Shri M K Raghavan,Kerala,KOZHIKODE,147000000.0,1760827.0,145239173.0,1.2,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
MUKESHKUMAR CHANDRAKAANT DALAL,Gujarat,SURAT,147000000.0,1800000.0,145200000.0,1.22,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Shri Arun Kumar Sagar,Uttar Pradesh,SHAHJAHANPUR(SC),147000000.0,1800000.0,145200000.0,1.22,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
RAJEEV BHARDWAJ,Himachal Pradesh,KANGRA,179388967.11,2199063.0,177189904.11,1.23,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Shri Amar Singh,Punjab,FATEHGARH SAHIB(SC),147000000.0,1879765.0,145120235.0,1.28,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
ASHISH DUBEY,Madhya Pradesh,JABALPUR,147000000.0,1881997.0,145118003.0,1.28,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
GAURAV GOGOI,Assam,JORHAT,147000000.0,1907746.0,145092254.0,1.3,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Amol Ramsing Kolhe,Maharashtra,SHIRUR,147000000.0,1915146.0,145084854.0,1.3,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Shri Kumbakudi Sudhakaran,Kerala,KANNUR,147000000.0,1921605.0,145078395.0,1.31,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
MANJU SHARMA,Rajasthan,JAIPUR,167082901.11,2191248.0,164891653.11,1.31,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
SAYANI GHOSH,West Bengal,JADAVPUR,147000000.0,1942427.0,145057573.0,1.32,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
KULDEEP INDORA,Rajasthan,GANGANAGAR(SC),147000000.0,1937077.0,145062923.0,1.32,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
TANGELLA UDAY SRINIVAS,Andhra Pradesh,KAKINADA,199417886.76,2661694.0,196756192.76,1.33,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
RAHUL SINGH LODHI,Madhya Pradesh,DAMOH,163058785.37,2181149.0,160877636.37,1.34,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Giridhari Yadav,Bihar,BANKA,147000000.0,1980494.0,145019506.0,1.35,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Mala Roy,West Bengal,KOLKATA DAKSHIN,147000000.0,2005606.0,144994394.0,1.36,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
VISHWESHWAR HEGDE KAGERI,Karnataka,UTTARA KANNADA,147000000.0,2025000.0,144975000.0,1.38,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
SAMBIT PATRA,Odisha,PURI,147000000.0,2062683.0,144937317.0,1.4,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
EATALA RAJENDER,Telangana,MALKAJGIRI,327477390.86,4573097.0,322904293.86,1.4,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
K. C VENUGOPAL,Kerala,ALAPPUZHA,147000000.0,2053734.0,144946266.0,1.4,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Ajay Tamta,Uttarakhand,ALMORA(SC),147000000.0,2094425.0,144905575.0,1.42,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
RAJA RAM SINGH,Bihar,KARAKAT,147000000.0,2121849.0,144878151.0,1.44,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Daggubati Purandeshwari,Andhra Pradesh,RAJAHMUNDRY,147000000.0,2118531.0,144881469.0,1.44,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Balashowry Vallabbhaneni,Andhra Pradesh,MACHILIPATNAM,147000000.0,2126104.0,144873896.0,1.45,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
DEVESH CHANDRA THAKUR,Bihar,SITAMARHI,163809205.11,2375985.0,161433220.11,1.45,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
AWADHESH PRASAD,Uttar Pradesh,FAIZABAD,147000000.0,2147355.0,144852645.0,1.46,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Sanjay Kumar Bandi,Telangana,KARIMNAGAR,172775317.11,2532391.0,170242926.11,1.47,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Rao Rajendra Singh,Rajasthan,JAIPUR RURAL,147000000.0,2164812.0,144835188.0,1.47,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
E.T. MOHAMMED BASHEER,Kerala,MALAPPURAM,163895872.11,2428449.0,161467423.11,1.48,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Shri Suresh Kodikunnil,Kerala,MAVELIKKARA(SC),172429519.11,2555483.0,169874036.11,1.48,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
V S Matheswaran,Tamil Nadu,NAMAKKAL,162539930.11,2397501.0,160142429.11,1.48,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
DR. RAJESH MISHRA,Madhya Pradesh,SIDHI,262724510.35,3919731.0,258804779.35,1.49,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
DHARMENDRA PRADHAN,Odisha,SAMBALPUR,147000000.0,2214713.0,144785287.0,1.51,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
AMAR SHARADRAO KALE,Maharashtra,WARDHA,147000000.0,2214125.0,144785875.0,1.51,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Prabhubhai Nagarbhai Vasava,Gujarat,BARDOLI(ST),147000000.0,2240050.0,144759950.0,1.52,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
C.M.RAMESH,Andhra Pradesh,ANAKAPALLE,202531656.11,3121992.0,199409664.11,1.54,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Khalilur Rahaman,West Bengal,JANGIPUR,147000000.0,2284225.0,144715775.0,1.55,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
B K PARTHASARATHI,Andhra Pradesh,HINDUPUR,160491894.11,2497951.0,157993943.11,1.56,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Anurag Sharma,Uttar Pradesh,JHANSI,147000000.0,2308020.0,144691980.0,1.57,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
RADHE SHYAM RATHIYA,Chhattisgarh,RAIGARH(ST),159706972.09,2501944.0,157205028.09,1.57,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Raju Bista,West Bengal,DARJEELING,147000000.0,2342202.0,144657798.0,1.59,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
DR. LATA WANKHEDE,Madhya Pradesh,SAGAR,147000000.0,2345157.0,144654843.0,1.6,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
G. KUMAR NAIK,Karnataka,RAICHUR(ST),147000000.0,2363649.0,144636351.0,1.61,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Pradan Baruah,Assam,LAKHIMPUR,147000000.0,2373969.0,144626031.0,1.61,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
BHOJRAJ NAG,Chhattisgarh,KANKER(ST),164672734.11,2682900.0,161989834.11,1.63,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
AMBICA G LAKSHMINARAYANA VALMIKI,Andhra Pradesh,ANANTAPUR,201899064.11,3316864.0,198582200.11,1.64,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
LUMBARAM,Rajasthan,JALORE,147000000.0,2460631.0,144539369.0,1.67,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
DAGGUMALLA PRASADA RAO,Andhra Pradesh,CHITTOOR,147000000.0,2466915.0,144533085.0,1.68,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
VIRENDRA SINGH,Uttar Pradesh,CHANDAULI,147000000.0,2473023.0,144526977.0,1.68,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
ANITA NAGARSINGH CHOUHAN,Madhya Pradesh,RATLAM(ST),147000000.0,2471133.0,144528867.0,1.68,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
R.K. CHAUDHARY,Uttar Pradesh,MOHANLALGANJ(SC),147000000.0,2492131.0,144507869.0,1.7,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Durga Das Uikey,Madhya Pradesh,BETUL(ST),151569502.91,2571725.0,148997777.91,1.7,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
CHAMALA KIRAN KUMAR REDDY,Telangana,BHONGIR,147000000.0,2497450.0,144502550.0,1.7,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
SURENDRA PRASAD YADAV,Bihar,JAHANABAD,155325714.0,2638386.0,152687328.0,1.7,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
NARAYAN TATU RANE,Maharashtra,RATNAGIRI-SINDHUDURG,147000000.0,2549728.0,144450272.0,1.73,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
KONDA VISHWESHWAR REDDY,Telangana,CHELVELLA,233721420.96,4032743.0,229688677.96,1.73,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
KARAN BHUSHAN SINGH,Uttar Pradesh,KAISERGANJ,147000000.0,2580018.0,144419982.0,1.76,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
ANAND BHADAURIYA,Uttar Pradesh,DHAURAHRA,147000000.0,2600009.0,144399991.0,1.77,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
SARABJEET SINGH KHALSA,Punjab,FARIDKOT(SC),150850348.15,2723605.0,148126743.15,1.81,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
TANUJ PUNIA,Uttar Pradesh,BARABANKI(SC),148198170.11,2730402.0,145467768.11,1.84,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Kiren Rijiju,Arunachal Pradesh,ARUNACHAL WEST,147000000.0,2700000.0,144300000.0,1.84,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
RUDRA NARAYAN PANY,Odisha,DHENKANAL,155013957.11,2889513.0,152124444.11,1.86,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
SUKANTA KUMAR PANIGRAHI,Odisha,KANDHAMAL,190712424.11,3561300.0,187151124.11,1.87,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
DR. KIRSAN NAMDEO,Maharashtra,GADCHIROLI-CHIMUR(ST),147000000.0,2744593.0,144255407.0,1.87,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
DR.MALLU RAVI,Telangana,NAGARKURNOOL(SC),147000000.0,2768579.0,144231421.0,1.88,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
DR DHARAMVIRA GANDHI,Punjab,PATIALA,147000000.0,2769670.0,144230330.0,1.88,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
AZAD KIRTI JHA,West Bengal,BARDHAMAN-DURGAPUR,179658399.98,3393828.0,176264571.98,1.89,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Gyaneshwar Patil,Madhya Pradesh,KHANDWA,155690684.77,2974100.0,152716584.77,1.91,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Priyanka Gandhi Vadra,Kerala,WAYANAD,122500000.0,2337910.0,120162090.0,1.91,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Asit Kumar Mal,West Bengal,BOLPUR(SC),275694456.74,5285096.0,270409360.74,1.92,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
BALABHADRA MAJHI,Odisha,NABARANGPUR(ST),147413962.11,2834903.0,144579059.11,1.92,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Ramesh Chandappa Jigajinagi,Karnataka,BIJAPUR(SC),269500000.0,5292823.0,264207177.0,1.96,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
NAVEEN JINDAL,Haryana,KURUKSHETRA,147000000.0,2899902.0,144100098.0,1.97,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
MADHAVANENI RAGHUNANDAN RAO,Telangana,MEDAK,147000000.0,2923011.0,144076989.0,1.99,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
JUNE MALIAH,West Bengal,MEDINIPUR,147000000.0,2922352.0,144077648.0,1.99,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Vaithilingam Ve,Puducherry,Puducherry,209368972.11,4212939.0,205156033.11,2.01,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
RAMASHANKAR RAJBHAR,Uttar Pradesh,SALEMPUR,160056927.07,3235492.0,156821435.07,2.02,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
BHASKAR MURLIDHAR BHAGARE,Maharashtra,DINDORI(ST),147000000.0,2988933.0,144011067.0,2.03,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
K E PRAKASH,Tamil Nadu,ERODE,147000000.0,3040000.0,143960000.0,2.07,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
GODAM NAGESH,Telangana,ADILABAD(ST),147000000.0,3075882.0,143924118.0,2.09,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
JOYANTA BASUMATARY,Assam,KOKRAJHAR (ST),147000000.0,3100000.0,143900000.0,2.11,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Shri Sarbananda Sonowal (18LS),Assam,DIBRUGARH,147000000.0,3107681.0,143892319.0,2.11,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
BHAUSAHEB RAJARAM WAKCHAURE,Maharashtra,SHIRDI(SC),147000000.0,3115138.0,143884862.0,2.12,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
MANNA LAL RAWAT,Rajasthan,UDAIPUR(ST),147000000.0,3160333.0,143839667.0,2.15,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
SHREYAS. M. PATEL,Karnataka,HASSAN,147000000.0,3186703.0,143813297.0,2.17,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Shri Karti P Chidambaram,Tamil Nadu,SIVAGANGA,159049284.11,3474534.0,155574750.11,2.18,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Annpurna Devi,Jharkhand,KODARMA,166665931.8,3642205.0,163023726.8,2.19,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Ramvir Singh Bidhuri,Delhi,SOUTH DELHI,147559100.0,3237339.0,144321761.0,2.19,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
DARSHAN SINGH CHOUDHARY,Madhya Pradesh,HOSHANGABAD,147000000.0,3244833.0,143755167.0,2.21,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
BUNTY VIVEK SAHU,Madhya Pradesh,CHHINDWARA,147000000.0,3249917.0,143750083.0,2.21,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
PRABHAKAR REDDY VEMIREDDY,Andhra Pradesh,NELLORE(SC),147000000.0,3265775.0,143734225.0,2.22,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Kripanath Mallah,Assam,KARIMGANJ (SC),147000000.0,3280447.0,143719553.0,2.23,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
AMRARAM,Rajasthan,SIKAR,165691544.11,3697749.0,161993795.11,2.23,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Shri Benny Behanan,Kerala,CHALAKUDY,164674770.11,3716376.0,160958394.11,2.26,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
VARUN CHAUDHRY,Haryana,AMBALA (SC),255454264.0,5773922.0,249680342.0,2.26,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
CN Annadurai,Tamil Nadu,TIRUVANNAMALAI,148579509.11,3426837.0,145152672.11,2.31,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Shri Anil Firojiya,Madhya Pradesh,UJJAIN(SC),147000000.0,3392640.0,143607360.0,2.31,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
TRIVENDRA SINGH RAWAT,Uttarakhand,HARDWAR,147000000.0,3413877.0,143586123.0,2.32,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
ANITA SUBHADARSHINI,Odisha,ASKA,147000000.0,3422595.0,143577405.0,2.33,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
AGA SYED RUHULLAH MEHDI,Jammu And Kashmir,SRINAGAR,147000000.0,3437977.0,143562023.0,2.34,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
DR. M.P ABDUSSAMAD SAMADANI,Kerala,PONNANI,170434031.11,3981967.0,166452064.11,2.34,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Smt Sangeeta Kumari Singh Deo,Odisha,BOLANGIR,147000000.0,3460629.0,143539371.0,2.35,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
BAG MITALI,West Bengal,ARAMBAG(SC),147000000.0,3457026.0,143542974.0,2.35,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
Rao Inderjit Singh,Haryana,GURGAON,147000000.0,3454672.0,143545328.0,2.35,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
SAVITRI THAKUR,Madhya Pradesh,DHAR(ST),147000000.0,3504065.0,143495935.0,2.38,Low utilization,Large unspent balance relative to allocation — worth checking for delayed fund release or stalled project pipeline.
